caller_number,receiver_number,timestamp,duration,tower_location
9876543210,9123456780,2026-07-12 19:45:10,240,Gandhipuram
9876543210,9443322110,2026-07-12 20:15:33,180,Gandhipuram
9123456780,9443322110,2026-07-12 20:42:15,95,Gandhipuram
9876543210,9123456780,2026-07-12 21:05:00,60,Gandhipuram
9789123456,9876500001,2026-07-15 12:30:00,310,RS Puram
9876500001,9655123456,2026-07-15 13:10:20,145,RS Puram
9876500001,9655123456,2026-07-18 17:20:00,280,Peelamedu
9655123456,9789123456,2026-07-18 18:35:40,90,Peelamedu
9876543210,9443322110,2026-07-22 16:10:00,420,Erode
9443322110,9842112233,2026-07-22 17:05:15,215,Erode
9842112233,9876543210,2026-07-22 17:30:00,110,Erode
9123456780,9789123456,2026-07-25 21:15:00,350,Salem
9789123456,9123456780,2026-07-25 22:20:30,195,Salem
9442001122,9442003344,2026-07-29 09:40:00,510,Coimbatore
9442003344,9845012345,2026-07-29 10:15:20,180,Coimbatore
9655123456,9876500001,2026-08-02 14:50:00,225,Town Hall
9876500001,9789123456,2026-08-02 15:35:10,130,Town Hall
9876543210,9123456780,2026-08-05 17:10:00,320,Gandhipuram
9876543210,9845012345,2026-08-05 17:25:30,210,Gandhipuram
9876543210,9789012345,2026-08-05 17:40:15,185,Gandhipuram
9876543210,9443322110,2026-08-05 17:55:00,95,Gandhipuram
9876543210,9789123456,2026-08-05 18:10:20,140,Gandhipuram
9876543210,9842112233,2026-08-05 18:25:40,260,Gandhipuram
9876543210,9442001122,2026-08-05 18:45:10,115,Gandhipuram
9876543210,9876500001,2026-08-05 19:05:00,310,Gandhipuram
9876543210,9655123456,2026-08-05 19:20:45,175,Gandhipuram
9845012345,9789012345,2026-08-05 18:30:00,410,Gandhipuram
9123456780,9845012345,2026-08-05 19:15:20,160,Gandhipuram
9842112233,9443322110,2026-08-09 11:20:00,290,RS Puram
9443322110,9842112233,2026-08-09 12:15:30,175,RS Puram
9442001122,9442003344,2026-08-12 15:10:00,360,Bangalore
9442003344,9845012345,2026-08-12 16:05:40,280,Bangalore
9845012345,9442001122,2026-08-12 16:50:15,190,Bangalore
9789123456,9123456780,2026-08-15 20:30:00,245,Peelamedu
9123456780,9789123456,2026-08-15 21:40:10,110,Peelamedu
9845012345,9876543210,2026-08-19 13:15:00,340,Chennai
9876543210,9789012345,2026-08-19 14:00:20,290,Chennai
9789012345,9845012345,2026-08-19 14:45:00,180,Chennai
9789012345,9894123456,2026-08-22 16:40:00,210,Madurai
9894123456,9789012345,2026-08-22 17:55:30,320,Madurai
9443322110,9876500001,2026-08-25 08:30:00,265,Erode
9876500001,9443322110,2026-08-25 09:45:10,150,Erode
9443322110,9842112233,2026-08-28 19:10:00,380,Salem
9842112233,9843556677,2026-08-28 19:55:20,230,Salem
9843556677,9443322110,2026-08-28 20:25:00,140,Salem
9894123456,9442001122,2026-08-30 14:50:00,310,Coimbatore
9442001122,9894123456,2026-08-30 15:40:15,195,Coimbatore
9845012345,9840998877,2026-09-01 10:15:00,420,Chennai
9840998877,9845012345,2026-09-01 11:20:30,260,Chennai
9845012345,9789012345,2026-09-02 16:30:00,350,Bangalore
9789012345,9876543210,2026-09-02 17:45:10,280,Bangalore
9876543210,9845012345,2026-09-02 18:25:00,190,Bangalore
9876543210,9123456780,2026-07-10 11:00:00,120,Gandhipuram
9123456780,9443322110,2026-07-11 15:30:00,180,Gandhipuram
9876500001,9876543210,2026-07-14 18:20:00,210,Peelamedu
9845012345,9876543210,2026-07-20 14:10:00,310,Bangalore
9842112233,9876543210,2026-07-21 16:45:00,195,Erode
9789123456,9655123456,2026-07-24 10:30:00,240,Salem
9442001122,9845012345,2026-07-28 17:15:00,180,Coimbatore
9655123456,9842112233,2026-08-01 12:40:00,150,Town Hall
9894123456,9876543210,2026-08-04 19:10:00,270,Madurai
9843556677,9842112233,2026-08-08 16:25:00,330,Salem
9840998877,9789012345,2026-08-11 14:05:00,215,Chennai
9876543210,9843556677,2026-08-14 18:50:00,165,Coimbatore
9876500001,9442001122,2026-08-17 11:35:00,140,Peelamedu
9845012345,9894123456,2026-08-20 15:55:00,290,Bangalore
9123456780,9876500001,2026-08-24 13:20:00,175,Peelamedu
9443322110,9840998877,2026-08-27 17:40:00,230,Salem
9842112233,9789123456,2026-08-29 12:10:00,190,Erode
9876543210,9840998877,2026-08-31 16:30:00,260,Coimbatore
9789012345,9442003344,2026-09-01 18:15:00,145,Bangalore
9876543210,9442003344,2026-09-02 10:45:00,205,Gandhipuram
9894123456,9843556677,2026-09-02 14:20:00,170,Madurai
9443322110,9789012345,2026-09-02 15:50:00,220,Erode
