transaction_id,sender_id,receiver_id,amount,timestamp,location
TXN1001,Ravi Kumar,Arun Raj,85000,2026-07-12 11:30:00,Gandhipuram
TXN1002,Arun Raj,Suresh,75000,2026-07-12 14:15:00,Gandhipuram
TXN1003,Ravi Kumar,Arun Raj,45000,2026-07-13 09:20:00,Gandhipuram
TXN1004,Dinesh Karthik,Manoj Tiwari,28000,2026-07-15 16:45:00,RS Puram
TXN1005,Manoj Tiwari,Vijay Sethi,22000,2026-07-18 21:00:00,Peelamedu
TXN1006,Suresh,Rajesh Nair,65000,2026-07-22 12:10:00,Erode
TXN1007,Rajesh Nair,Ravi Kumar,40000,2026-07-22 19:30:00,Erode
TXN1008,Arun Raj,Dinesh Karthik,35000,2026-07-25 18:00:00,Salem
TXN1009,Amit Patel,Anand Verma,120000,2026-07-29 14:20:00,Coimbatore
TXN1010,Anand Verma,Vikram Singh,95000,2026-07-29 16:45:00,Coimbatore
TXN1011,Vijay Sethi,Manoj Tiwari,18500,2026-08-02 18:10:00,Town Hall
TXN1012,Ravi Kumar,Arun Raj,90000,2026-08-05 10:15:00,Gandhipuram
TXN1013,Arun Raj,Suresh,85000,2026-08-05 12:40:00,Gandhipuram
TXN1014,Suresh,Vikram Singh,80000,2026-08-05 14:30:00,Gandhipuram
TXN1015,Vikram Singh,Priya Sharma,65000,2026-08-05 16:15:00,Gandhipuram
TXN1016,Ravi Kumar,Arun Raj,60000,2026-08-06 09:30:00,Gandhipuram
TXN1017,Rajesh Nair,Suresh,42000,2026-08-09 15:20:00,RS Puram
TXN1018,Amit Patel,Vikram Singh,180000,2026-08-12 12:00:00,Bangalore
TXN1019,Vikram Singh,Anand Verma,75000,2026-08-12 14:30:00,Bangalore
TXN1020,Dinesh Karthik,Arun Raj,50000,2026-08-15 17:10:00,Peelamedu
TXN1021,Vikram Singh,Priya Sharma,150000,2026-08-19 11:00:00,Chennai
TXN1022,Vikram Singh,Ravi Kumar,135000,2026-08-19 12:45:00,Chennai
TXN1023,Priya Sharma,Karthik Subbaraj,72000,2026-08-22 14:20:00,Madurai
TXN1024,Suresh,Manoj Tiwari,38000,2026-08-25 12:50:00,Erode
TXN1025,Suresh,Rajesh Nair,90000,2026-08-28 16:10:00,Salem
TXN1026,Rajesh Nair,Meena Sundaram,45000,2026-08-28 18:30:00,Salem
TXN1027,Karthik Subbaraj,Amit Patel,55000,2026-08-30 18:20:00,Coimbatore
TXN1028,Vikram Singh,Deepa Loganathan,210000,2026-09-01 09:40:00,Chennai
TXN1029,Vikram Singh,Priya Sharma,95000,2026-09-02 13:15:00,Bangalore
TXN1030,Priya Sharma,Ravi Kumar,88000,2026-09-02 15:40:00,Bangalore
TXN1031,Ravi Kumar,Vikram Singh,110000,2026-07-20 16:00:00,Bangalore
TXN1032,Manoj Tiwari,Dinesh Karthik,15000,2026-07-24 14:10:00,RS Puram
TXN1033,Rajesh Nair,Suresh,30000,2026-07-26 11:25:00,Erode
TXN1034,Vijay Sethi,Dinesh Karthik,25000,2026-07-31 17:30:00,Peelamedu
TXN1035,Vikram Singh,Karthik Subbaraj,82000,2026-08-04 10:15:00,Madurai
TXN1036,Anand Verma,Amit Patel,40000,2026-08-07 16:50:00,Coimbatore
TXN1037,Meena Sundaram,Suresh,35000,2026-08-10 13:20:00,Salem
TXN1038,Deepa Loganathan,Vikram Singh,125000,2026-08-16 15:45:00,Chennai
TXN1039,Arun Raj,Ravi Kumar,50000,2026-08-18 18:00:00,Gandhipuram
TXN1040,Karthik Subbaraj,Priya Sharma,60000,2026-08-24 11:30:00,Madurai
TXN1041,Ravi Kumar,Rajesh Nair,70000,2026-08-26 16:40:00,Erode
TXN1042,Manoj Tiwari,Vijay Sethi,32000,2026-08-29 19:15:00,Town Hall
